Category,Label,Question,Answer
Drop,1,Will my GPA be a problem for staying enrolled?,"Yes, if your GPA is below than the <MINCGPA>"
Drop,1,Is my academic performance sufficient to continue?,"It depends on your performance. Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Could I be excluded from the program?,"It depends on your performance. Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Am I secure in my academic status?,"It depends on your performance. Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Could my current grades lead to dismissal?,"It depends on your performance. Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Will my academic standing keep me in the program?,"It depends on your performance. Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Am I failing to meet the program standards?,"It depends on your performance. Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Will I be allowed to continue my studies?,"It depends on your performance. Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Can I avoid being dropped this semester?,"It depends on your performance. Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Do I still meet the enrollment criteria?,"It depends on your performance. Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Am I eligible to stay in the program?,"It depends on your performance. Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Is my current standing acceptable to continue?,"It depends on your performance. Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Could I lose my place due to my cgpa?,"It depends on your performance. Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Am I at risk of not meeting the academic standards?,"If your GPA is low or you've failed multiple courses, you may be at risk."
Drop,1,Will my GPA be a problem for staying enrolled?,"Yes, if your GPA is below your university's required threshold, it could risk your enrollment"
Drop,1,Is my academic performance sufficient to continue?,"If your GPA is low or you've failed multiple courses, you may be at risk."
Drop,1,Could I be excluded from the program?,"It depends on your performance. Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Am I secure in my academic status?,"It depends on your performance. Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Could my current cgpa lead to dismissal?,Your cgpa is <CGPA> and the min cgpa required to promote  is <MINCGPA>.
Drop,1,What is the minimum CGPA required to avoid being dropped?,The min cgpa required to promote  is <MINCGPA>.
Drop,1,Will my academic standing keep me in the program?,"It depends on your performance. Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Is my position in the course at risk?,"It depends on your performance. Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Could I be forced to drop courses?,"It depends on your performance. Your CGPA: , Min required to promote: ."
Drop,1,Will my academic performance get me drop?,"It depends on your performance. Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Am I in danger of being expelled from the program?,"It depends on your performance. Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Is my enrollment status at risk?,"It depends on your performance. Your CGPA: , Min required to promote: ."
Drop,1,Will my current GPA lead to dismissal?,Your cgpa is <CGPA> and the min cgpa required to promote  is <MINCGPA>.
Drop,1,Am I going to drop this semester? ,"It depends on your performance. Your CGPA: , Min required to promote: ."
Drop,1,Will I be dropped if I fail too many courses? ,"It depends on your performance. Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Am I safe from being dropped?,"It depends on minimum CGPA ,min cgpa required to promote  is <MINCGPA>.."
Drop,1,What happens if I fail a course?,Failing a course can impact your CGPA and academic standing.
Drop,1,Will I be dropped if I fail two courses?,It depends on your overall CGPA and academic policy.
Drop,1,Is my CGPA too low to continue?,A CGPA below  may result in being dropped.
Drop,1,What is the minimum CGPA to stay enrolled?,You must maintain a CGPA of at least <MINCGPA> .
Drop,1,How can I avoid being dropped?,Improve your grades and meet the minimum CGPA requirements.
Drop,1,Am I at risk of being drop this semester?,Your risk depends on your CGPA and semester performance.
Drop,1,Can failing three courses drop me?,"Yes, failing multiple courses may lead to being dropped."
Drop,1,What CGPA should I aim for to stay safe?,You need a CGPA of  or higher to remain safe.
Drop,1,Is my academic performance satisfactory?,It depends on meeting the required CGPA of .
Drop,1,Will academic probation affect my status?,Yes extended probation may lead to being dropped.
Drop,1,Can improving this semester save me?,Yes a strong performance can improve your CGPA.
Drop,1,What happens after being dropped?,You may have to re-apply or meet specific criteria to return.
Drop,1,Are there warnings before being dropped?,Yes academic warnings are usually issued.
Drop,1,Can I appeal a drop decision?,Yes appeals are allowed based on valid reasons.
Drop,1,What are the consequences of dropping out?,Consequences may include academic and financial impacts.
Drop,1,Can low attendance cause me to be dropped?,Yes poor attendance may lead to being dropped.
Drop,1,How long can I stay on probation?,Probation duration depends on institutional policies.
Drop,1,Can I rejoin after being dropped?,Yes subject to meeting reinstatement criteria.
Drop,1,Is there a grace period before being dropped?,Yes policies often include a grace period.
Drop,1,Does a dropped course count in my CGPA?, it may affect your CGPA.
Drop,1,Can I drop all my courses?,Dropping all courses may lead to losing enrollment status.
Drop,1,Am I safe from being dropped?,It depends on achieving the minimum CGPA the min cgpa required to promote  is <MINCGPA> .
Drop,1,What happens if I fail a course?,Failing a course can impact your CGPA and academic standing.
Drop,1,Will I be dropped if I fail two courses?,It depends on your overall CGPA and academic policy.
Drop,1,Is my CGPA too low to continue?,A CGPA below  may result in being dropped.
Drop,1,What is the minimum CGPA to stay enrolled?,You must maintain a CGPA of at least .
Drop,1,How can I avoid being dropped?,Improve your grades and meet the minimum CGPA requirements.
Drop,1,Am I at risk of being drop this semester?,Your risk depends on your CGPA and semester performance.
Drop,1,Can failing three courses drop me?,Yes failing multiple courses may lead to being dropped.
DropCourses,6,What are my drop courses?,Your drop courses are <drop_course>.
DropCourses,6,Tell me about my drop courses?,Your dropped courses are <drop_course>.
DropCourses,6,Tell courses did I drop?,You dropped <drop_course>.
DropCourses,6,What courses did I drop?,Your drop courses are <drop_course>.
DropCourses,6,Tell me my dropped courses.,You drop from <drop_course>.
DropCourses,6,What are my dropped courses?,Your drop courses are <drop_course>.
DropCourses,6,Can you tell me my drop courses?,You drop from <drop_course>.
DropCourses,6,Which courses have I dropped?,Your drop courses are <drop_course>.
DropCourses,6,What courses did I drop?,You drop <drop_course>.
DropCourses,6,Can you share my drop courses?,Your drop courses are <drop_course>.
DropCourses,6,What are the courses I dropped?,You drop <drop_course>.
DropCourses,6,Tell me the courses I dropped.,Your drop courses are <drop_course>.
DropCourses,6,Which courses did I drop?,You drop courses of <drop_course>.
DropCourses,6,What courses did I drop?,Your dropped courses are <drop_course>.
DropCourses,6,Can you provide my drop courses?,You dropped <drop_course>.
DropCourses,6,What are my drop courses?,Your drop courses are <drop_course>.
DropCourses,6,Which courses did I unenroll from?,You drop from <drop_course>.
DropCourses,6,What courses did I drop of?,Your drop courses are <drop_course>.
DropCourses,6,Can you list my drop courses?,You drop from <drop_course>.
DropCourses,6,What courses did I drop?,Your drop courses are <drop_course>.
DropCourses,6,Tell me my drop courses.,You drop <drop_course>.
DropCourses,6,What are my cancelled courses?,Your drop courses are <drop_course>.
DropCourses,6,Can you tell me my drop courses?,You drop <drop_course>.
DropCourses,6,Which courses did I drop courses of program?,Your drop courses are <drop_course>.
DropCourses,6,What courses did I drop in this program ?,You drop courses of <drop_course>.
DropCourses,6,Can you share my dropped courses?,Your dropped subjects are <drop_course>.
DropCourses,6,What are my drop courses?,You dropped <drop_course>.
DropCourses,6,Tell me the courses I drop from.,Your drop subjects are <drop_course>.
DropCourses,6,Which courses did I drop this semester?,You drop from <drop_course>.
DropCourses,6,What courses did I drop this year?,Your drop subjects are <drop_course>.
DropCourses,6,Can you list my dropped courses?,You drop from <drop_course>.
DropCourses,6,What are my drop courses?,Your drop subjects are <drop_course>.
DropCourses,6,Tell me my drop courses.,You drop <drop_course>.
DropCourses,6,Which courses did I drop?,Your drop subjects are <drop_course>.
DropCourses,6,What courses did I drop in my program?,You drop <drop_course>.
DropCourses,6,Can you provide my drop courses?,Your drop subjects are <drop_course>.
DropCourses,6,What are my dropped courses?,You drop courses of <drop_course>.
DropCourses,6,Tell me my drop drop?,Your dropped courses are <drop_course>.
DropCourses,6,Which courses did I drop this semester?,You dropped <drop_course>.
DropCourses,6,What courses did I drop this semester?,Your drop courses are <drop_course>.
DropCourses,6,Can you tell me my drop courses?,You drop from <drop_course>.
DropCourses,6,What are my drop courses?,Your drop courses are <drop_course>.
DropCourses,6,Tell me my drop courses.,You drop from <drop_course>.
DropCourses,6,Which courses did I drop this semester?,Your drop courses are <drop_course>.
DropCourses,6,What courses did I drop this semester?,You drop <drop_course>.
DropCourses,6,Can you share my drop courses?,Your drop courses are <drop_course>.
DropCourses,6,What are my dropped subjects?,You drop <drop_course>.
DropCourses,6,Tell me my drop subjects.,Your drop courses are <drop_course>.
DropCourses,6,Which courses did I drop this period?,You drop courses of <drop_course>.
DropCourses,6,What courses did I drop this cycle?,Your dropped courses are <drop_course>.
DropCourses,6,Can you list my drop courses?,You dropped <drop_course>.
DropCourses,6,What are my drop subjects?,Your drop courses are <drop_course>.
DropCourses,6,Tell me my unenroll subjects.,You drop from <drop_course>.
DropCourses,6,Which courses did I drop this phase?,Your drop courses are <drop_course>.
DropCourses,6,What courses did I drop this semester?,You drop from <drop_course>.
DropCourses,6,Can you provide my dropped subjects?,Your drop courses are <drop_course>.
DropCourses,6,What are my drop subjects?,You drop <drop_course>.
DropCourses,6,Tell me my drop subjects.,Your drop courses are <drop_course>.
DropCourses,6,Which courses did I drop this block?,You drop <drop_course>.
DropCourses,6,What courses did I drop this interval?,Your drop courses are <drop_course>.
DropCourses,6,Can you tell me my drop subjects?,You drop courses of <drop_course>.
DropCourses,6,What are my drop subjects?,Your dropped subjects are <drop_course>.
DropCourses,6,Tell me my dropped courses.,You dropped <drop_course>.
DropCourses,6,Which courses did I drop this segment?,Your drop subjects are <drop_course>.
DropCourses,6,What courses did I drop this timeframe?,You drop from <drop_course>.
DropCourses,6,Can you share my drop courses?,Your drop subjects are <drop_course>.
DropCourses,6,What are my drop subjects?,You drop from <drop_course>.
DropCourses,6,Tell me my drop courses.,Your drop subjects are <drop_course>.
DropCourses,6,Which courses did I drop this period?,You drop <drop_course>.
DropCourses,6,What courses did I drop this semester?,Your drop subjects are <drop_course>.
DropCourses,6,Can you list my drop courses?,You drop <drop_course>.
DropCourses,6,What are my dropped courses?,Your drop subjects are <drop_course>.
DropCourses,6,Tell me my drop courses.,You drop courses of <drop_course>.
DropCourses,6,Which courses did I drop this semester?,Your dropped courses are <drop_course>.
DropCourses,6,What courses did I drop this year?,You dropped <drop_course>.
DropCourses,6,Can you provide my drop subjects?,Your drop courses are <drop_course>.
DropCourses,6,What are my drop courses?,You drop from <drop_course>.
DropCourses,6,Tell me my drop subjects.,Your drop courses are <drop_course>.
DropCourses,6,Which courses did I drop this quarter?,You drop from <drop_course>.
DropCourses,6,What courses did I drop this cycle?,Your drop courses are <drop_course>.
DropCourses,6,Can you tell me my dropped subjects?,You drop <drop_course>.
DropCourses,6,What are my drop courses?,Your drop courses are <drop_course>.
DropCourses,6,Tell me my drop subjects.,You drop <drop_course>.
DropCourses,6,Which courses did I drop this phase?,Your drop courses are <drop_course>.
DropCourses,6,What courses did I drop this block?,You drop courses of <drop_course>.
DropCourses,6,Can you share my drop courses?,Your dropped courses are <drop_course>.
DropCourses,6,What are my drop courses?,You dropped <drop_course>.
DropCourses,6,Tell me my drop courses.,Your drop courses are <drop_course>.
DropCourses,6,Which courses did I drop this interval?,You drop from <drop_course>.
DropCourses,6,What courses did I drop this segment?,Your drop courses are <drop_course>.
DropCourses,6,Can you list my drop courses?,You drop from <drop_course>.
DropCourses,6,What are my drop courses?,Your drop courses are <drop_course>.
DropCourses,6,Tell me my drop courses.,You drop <drop_course>.
DropCourses,6,Which courses did I drop this timeframe?,Your drop courses are <drop_course>.
DropCourses,6,What courses did I drop this period?,You drop <drop_course>.
DropCourses,6,Can you provide my drop subjects?,Your drop courses are <drop_course>.
DropCourses,6,What are my dropped courses?,You drop courses of <drop_course>.
DropCourses,6,Tell me my drop subjects.,Your dropped subjects are <drop_course>.
DropCourses,6,Which courses did I drop this semester?,You dropped <drop_course>.
DropCourses,6,What courses did I drop this semester?,Your drop subjects are <drop_course>.
Enrollment,2,Can you show me my current enrollments?,Here are your current enrollments: <enrollCourses>.
Enrollment,2, Tell me the enroll courses?,Here are your enrollments: <enrollCourses>.
Enrollment,2,What courses am I taking this semester?,"This semester, you are enrolled in the following courses: <enrollCourses>."
Enrollment,2,Which courses did I enroll in?,"This semester, you are enrolled in the following courses: <enrollCourses>."
Enrollment,2,What courses am I registered for this semester?,You have enrolled in <enrollCourses>.
Enrollment,2,Show me all my course enrollments.,You are registered for the following courses: <enrollCourses>.
Enrollment,2,How many courses have I enrolled in?,Your course enrollments are: <enrollCourses>.
Enrollment,2,Can I see my current course list?,You are currently enrolled in <enrollCourses> courses.
Enrollment,2,Can you tell me about my enrolled courses?,Sure! Here is your course list: <enrollCourses>.
Enrollment,2,Are all my courses confirmed for this semester?,Your enrollment status shows that you are enrolled in: <enrollCourses>.
Enrollment,2,Which subjects did I enroll in?,"Yes, all your courses are confirmed: <enrollCourses>."
Enrollment,2,Tell me about my course enrollments this year.,You have enrolled in the following subjects: <enrollCourses>.
Enrollment,2,What are the courses I've signed up for?,Here are the courses you are enrolled in this year: <enrollCourses>.
Enrollment,2,Can you give me a list of my enrolled courses this semester?,You have signed up for: <enrollCourses>.
Enrollment,2,What are the names of my enrolled courses?,Your enrolled courses this semester are: <enrollCourses>.
Enrollment,2,Which subjects have I already enrolled in?,The names of your enrolled courses are: <enrollCourses>.
Enrollment,2,What courses am I enrolled in?,Your enrolled subjects are: <enrollCourses>.
Enrollment,2,Can you show my current course enrollments?,You are enrolled in: <enrollCourses>.
Enrollment,2,List all the courses I've registered for.,Here are your enrolled courses: <enrollCourses>.
Enrollment,2,How can I view my enrolled courses?,Your registered courses are: <enrollCourses>.
Enrollment,2,What subjects am I taking this semester?,Your enrolled courses are: <enrollCourses>.
Enrollment,2,Tell me the courses I enroll?,You are taking: <enrollCourses>.
Enrollment,2,Can you display my enrolled course list?,You have signed up for: <enrollCourses>.
Enrollment,2,Which courses am I enrolling currently?,Here is your course list: <enrollCourses>.
Enrollment,2,What are my active enrollments?,You are enrolling: <enrollCourses>.
Enrollment,2,What's my current course lineup?,Your active enrollments include: <enrollCourses>.
Enrollment,2,Can I see the courses I'm enrolled in?,Your lineup is: <enrollCourses>.
Enrollment,2,Provide details of my enrolled courses?,"Yes, you are enrolled in: <enrollCourses>."
Enrollment,2,What courses are listed under my enrollment?,You are enrolled in these courses: <enrollCourses>.
Enrollment,2,Show me my registered courses.,The courses listed are: <enrollCourses>.
Enrollment,2,What's on my current enrollment record?,Your registered courses are: <enrollCourses>.
Enrollment,2,Am I enrolled in any electives?,Your record includes: <enrollCourses>.
Enrollment,2,Tell me about my ongoing courses.,"Yes, your electives are: <enrollCourses>."
Enrollment,2,What are my academic enrollments in this semester?,Your ongoing courses are: <enrollCourses>.
Enrollment,2,Can you give an overview of my registered courses?,Your enrollments this semester are: <enrollCourses>.
Enrollment,2,What's my courses for this semester?,Your registered courses are: <enrollCourses>.
Enrollment,2,What courses have I enroll for?,Your includes: <enrollCourses>.
Enrollment,2,What courses am I enrolled in this semester?,You enroll courses are: <enrollCourses>.
Enrollment,2,Could you list my enroll courses?,"This semester, you are enrolled in: <enrollCourses>."
Enrollment,2,What's on my current academic plan?,Your confirmed courses are: <enrollCourses>.
Enrollment,2,Do I have any courses enrolled this semester?,Your academic plan includes: <enrollCourses>.
Enrollment,2,Which subjects have I enrolled in?,"Yes, you are enrolled in: <enrollCourses>."
Enrollment,2,What's my list of enrolled courses?,You are enrolled in: <enrollCourses>.
Enrollment,2,What courses are included in my enrollment?,Your list includes: <enrollCourses>.
Enrollment,2,How many courses have I enrolled in?,Your enrollment includes: <enrollCourses>.
Enrollment,2,Can I enroll  courses?,You have enrolled in <enrollCourses> courses.
Enrollment,2,What is my current enrollments?,Your current enrollments include: <enrollCourses>.
Enrollment,2,Which courses can I take this semester?,You are currently enrolled in <enrollCourses>.
Enrollment,2,How do I enroll from a course?,Available courses include: <enrollCourses>.
Enrollment,2,What? my current enrollment status?,"Yes, but you need approval if exceeding the credit limit."
Enrollment,2,Which courses can I take this semester?,You are currently enrolled in <enrollCourses>.
Enrollment,2,How do I enroll from a course?,Available courses include: <enrollCourses>.
Enrollment,2,What courses am I currently enrolled in?,Your current enrollments: <enrollCourses>.
Enrollment,2,Can you tell me about my enrolled courses?,You are currently enrolled in: <enrollCourses>.
Enrollment,2,What are the courses Im enrolled in this semester?,Your enrolled courses are: <enrollCourses>.
Enrollment,2,Could you list my current enrollments?,Here are your current enrollments: <enrollCourses>.
Enrollment,2,Can you provide me with my enrolled courses?,You are taking the following courses: <enrollCourses>.
Enrollment,2,What courses have I registered for?,Your current course list includes: <enrollCourses>.
Enrollment,2,Can you share the list of courses Im enrolled in?,You are enrolled in: <enrollCourses>.
Enrollment,2,What are the courses Im taking this semester?,Your enrolled courses this semester are: <enrollCourses>.
Enrollment,2,Could you tell me which courses Im enrolled in?,You have registered for: <enrollCourses>.
Enrollment,2,Can you let me know my current course enrollments?,Your current enrollments include: <enrollCourses>.
Enrollment,2,What courses am I signed up for?,You are signed up for: <enrollCourses>.
Enrollment,2,Can you give me details about my enrolled courses?,Your enrolled courses are as follows: <enrollCourses>.
Enrollment,2,Could you inform me about the courses Im enrolled in?,You are enrolling: <enrollCourses>.
Enrollment,2,What are the courses Im enrolling this semester?,Your current course enrollments are: <enrollCourses>.
Enrollment,2,Can you tell me the courses Im registered for?,You are enrolled in the following courses: <enrollCourses>.
Enrollment,2,Could you provide me with my current course list?,Your course list for this semester is: <enrollCourses>.
Enrollment,2,What courses am I currently taking?,You are currently taking: <enrollCourses>.
Enrollment,2,Can you share the courses Im enrolled in this semester?,Your enrolled courses include: <enrollCourses>.
Enrollment,2,Could you let me know what courses Im enrolled in?,You are registered for the following courses: <enrollCourses>.
Enrollment,2,What are the courses Im enrolled in right now?,Your current enrollments consist of: <enrollCourses>.
Enrollment,2,Can you tell me about my current course enrollments?,You are enrolled in these courses: <enrollCourses>.
Enrollment,2,Could you provide details about my enrolled courses?,Your course enrollments are: <enrollCourses>.
Enrollment,2,What courses am I enrolled in this semester?,You are enrolled in the following: <enrollCourses>.
Enrollment,2,Can you give me a list of my enrolled courses?,Your current course enrollments include: <enrollCourses>.
Enrollment,2,Could you tell me the courses Im currently enrolled in?,You are enrolled in: <enrollCourses>.
Enrollment,2,Can you provide details about my current classes?,Your current classes are: <enrollCourses>.
Enrollment,2,Which modules am I signed up for this term?,"This term, you are signed up for the following modules: <enrollCourses>."
Enrollment,2,What is my course schedule for this semester?,Your course schedule includes: <enrollCourses>
Enrollment,2,Could you list the subjects I'm currently studying?,You are currently studying: <enrollCourses>
Enrollment,2,What classes have I registered for this academic year?,"This academic year, you have registered for: <enrollCourses>."
Enrollment,2,Can I see an overview of my enrolled subjects?,Certainly! Your enrolled subjects are: <enrollCourses>.
Enrollment,2,Which courses are part of my current curriculum?,Your current curriculum includes the following courses: <enrollCourses>.
Enrollment,2,What are the details of my active courses?,Your active courses are: <enrollCourses>.
Enrollment,2,Could you show me my course enrollment summary?,Here's a summary of your course enrollments: <enrollCourses>.
Enrollment,2,What subjects have I chosen for this semester?,"This semester, you have chosen: <enrollCourses>"
Enrollment,2,Can you list the classes I'm attending this term?,You are attending the following classes this term: <enrollCourses>.
Enrollment,2,Which courses are included in my study plan?,Your study plan includes these courses: <enrollCourses>.
Enrollment,2,What is my current academic schedule?,Your academic schedule consists of: <enrollCourses>.
Enrollment,2,Could you provide a list of my current modules?,Your current modules are: <enrollCourses>.
Enrollment,2,What subjects am I registered for this year?,"This year, you are registered for: <enrollCourses>."
Enrollment,2,Can I get a breakdown of my enrolled courses?,Certainly! Your enrolled courses are: <enrollCourses>.
Enrollment,2,Which classes are on my current timetable?,Your current timetable includes: <enrollCourses>.
Enrollment,2,What are the courses I'm currently participating in?,You are currently participating in: <enrollCourses>.
Enrollment,2,Could you list the subjects I'm involved in this semester?,"This semester, you are involved in: <enrollCourses>."
Enrollment,2,What courses have I opted for this term?,"This term, you have opted for: <enrollCourses>."
Enrollment,2,Can you show me the list of my current academic courses?,Your current academic courses are: <enrollCourses>
Enrollment,2,Which subjects are part of my current studies?,Your current studies include the following subjects: <enrollCourses>.
Enrollment,2,What classes am I currently registered for?,You are currently registered for the following classes: <enrollCourses>
Enrollment,2,Can you provide a list of the subjects I'm enrolled in this semester?,"This semester, you are enrolled in the following subjects: <enrollCourses>."
CGPA,3,What is my current CGPA?,Your CGPA is <CGPA>.
CGPA,3,Can you tell me my CGPA?,Your current CGPA is <CGPA>.
CGPA,3,Whats my CGPA right now?,"As of today, your CGPA is <CGPA>."
CGPA,3,Could you let me know my current CGPA?,Your CGPA is <CGPA>.
CGPA,3,Can you provide me with my CGPA?,Your CGPA as of today is <CGPA>.
CGPA,3,What is my CGPA as of today?,Your   CGPA is <CGPA>.
CGPA,3,Can you share my current CGPA?,Your CGPA for this semester is <CGPA>.
CGPA,3,Could you tell me my CGPA for this semester?,Your current CGPA is <CGPA>.
CGPA,3,Whats my CGPA as of today?,Your CGPA right now is <CGPA>.
CGPA,3,Can you let me know my CGPA for this semester?,Your CGPA for this semester is <CGPA>.
CGPA,3,What is my CGPA at the moment?,Your CGPA as of today is <CGPA>.
CGPA,3,Can you give me my current CGPA?,Your CGPA is currently <CGPA>.
CGPA,3,Could you inform me about my CGPA?,Your CGPA as of now is <CGPA>.
CGPA,3,Whats my CGPA as of now?,Your   CGPA as of today is <CGPA>.
CGPA,3,Can you tell me my   CGPA?,Your CGPA for this semester is <CGPA>.
CGPA,3,What is my CGPA for this semester?,Your CGPA for this semester is <CGPA>.
CGPA,3,Can you provide my CGPA as of today?,Your CGPA as of this semester is <CGPA>.
CGPA,3,Could you share my current CGPA?,Your current CGPA is <CGPA>.
CGPA,3,Whats my CGPA as of today?,Your CGPA for this semester is <CGPA>.
CGPA,3,Can you let me know my CGPA right now?,Your CGPA as of now is <CGPA>.
CGPA,3,What is my current CGPA?,Your CGPA as of this semester is <CGPA>.
CGPA,3,Can you tell me my CGPA for this semester?,Your   CGPA as of now is <CGPA>.
CGPA,3,Could you provide me with my CGPA as of today?,Your CGPA for this semester is <CGPA>.
CGPA,3,Whats my CGPA for this semester?,Your CGPA for this semester is <CGPA>.
CGPA,3,Can you share my CGPA as of now?,Your CGPA as of today is <CGPA>.
CGPA,3,Could you tell me my current   CGPA?,Your current CGPA is <CGPA>.
CGPA,3,What is my CGPA as of this semester?,Your CGPA as of this semester is <CGPA>.
CGPA,3,Can you let me know my CGPA for this semester?,Your CGPA as of this semester is <CGPA>.
CGPA,3,Whats my CGPA as of this semester?,Your CGPA as of this semester is <CGPA>.
CGPA,3,Can you provide my current CGPA?,Your   CGPA for this semester is <CGPA>.
CGPA,3,Could you inform me about my CGPA as of today?,Your CGPA as of now is <CGPA>.
CGPA,3,What is my CGPA for this semester?,Your CGPA as of today is <CGPA>.
CGPA,3,Can you tell me my CGPA for this semester?,Your CGPA for this semester is <CGPA>.
CGPA,3,Could you share my CGPA for this semester?,Your current CGPA is <CGPA>.
CGPA,3,Whats my current  CGPA?,Your CGPA as of this semester is <CGPA>.
